"CasinoManufacturerId,""CasinoManufacturerName"",""FromDate"",""ToDate"",""LatestFlag"""
1,Viaden,2019-11-15 09:11:32.287,,1
2,MicroGaming,2019-11-15 09:11:32.287,2024-04-16 06:11:35.627,0
2,Micro Gaming,2024-04-16 06:11:35.627,,1
3,Evolution,2020-06-16 09:41:29.923,,1
4,ScientificGames,2019-11-15 09:11:32.287,2024-04-11 06:51:11.840,0
4,Scientific Games,2024-04-11 06:51:11.840,,1
5,NetEnt,2019-11-15 09:11:32.287,,1
6,PlayTech,2019-11-15 09:11:32.287,,1
7,PlayNGo,2019-11-15 09:11:32.287,,1
8,Amatic,2019-11-15 09:11:32.287,,1
9,IGT,2019-11-15 09:11:32.287,,1
10,Magnet,2019-11-15 09:11:32.287,,1
11,TomHorn,2019-11-15 09:11:32.287,2024-04-03 12:51:13.803,0
11,Tom Horn,2024-04-03 12:51:13.803,,1
12,Yggdrasil,2019-11-15 09:11:32.287,,1
13,PariPlay,2019-11-15 09:11:32.287,2021-12-14 10:51:34.073,0
13,WizardGames,2021-12-14 10:51:34.073,2024-04-07 22:35:18.623,0
13,Wizard Games,2024-04-07 22:35:18.623,,1
14,Playson,2019-11-15 09:11:32.287,,1
"15,""1X2Gaming"",2019-11-15 09:11:32.287,,1"
16,BetGamesTv,2019-11-15 09:11:32.287,2024-11-29 09:23:19.743,0
16,Bet Games Tv,2024-11-29 09:23:19.743,,1
17,iSoftBet,2019-11-15 09:11:32.287,,1
18,Genii,2019-11-15 09:11:32.287,,1
19,IronDog,2019-11-15 09:11:32.287,,1
20,Realistic,2019-11-15 09:11:32.287,,1
21,Gamevy,2019-11-15 09:11:32.287,,1
22,Leap,2019-11-15 09:11:32.287,,1
23,Leander,2019-11-15 09:11:32.287,,1
24,PushGaming,2020-06-02 11:23:56.870,,1
25,Habanero,2022-12-23 11:09:35.753,,1
26,NextGen,2019-11-15 09:11:32.287,2023-12-20 09:26:41.667,0
26,Next Gen,2023-12-20 09:26:41.667,,1
27,Aristocrat,2019-11-15 09:11:32.287,,1
28,Amaya,2019-11-15 09:11:32.287,,1
29,BigTimeGaming,2020-01-13 14:50:10.213,2023-07-04 07:30:05.710,0
29,Big Time Gaming,2023-07-04 07:30:05.710,,1
30,ElkStudios,2020-05-12 08:37:53.487,2024-04-19 12:46:19.290,0
30,Elk Studios,2024-04-19 12:46:19.290,,1
31,NYX,2019-11-15 09:11:32.287,,1
33,LightningBox,2020-05-12 08:37:53.483,2024-05-15 06:06:29.053,0
33,Lightning Box,2024-05-15 06:06:29.053,,1
34,Game360,2020-05-12 08:37:53.487,,1
36,Nektan,2019-11-15 09:11:32.287,,1
37,SideCity,2020-05-12 08:37:53.483,,1
38,ChanceInteractive,2020-05-12 08:37:53.490,,1
39,BetDigital,2020-05-12 08:37:53.483,,1
40,Bally,2019-11-15 09:11:32.287,,1
41,Barcrest,2019-11-15 09:11:32.287,,1
42,PragmaticPlay,2020-05-05 14:47:47.280,,1
43,Playzido,2019-11-15 09:11:32.287,,1
44,Williams,2019-11-15 09:11:32.287,,1
45,Edict,2019-11-15 09:11:32.287,,1
46,Wazdan,2019-11-15 09:11:32.287,,1
47,ShuffleMaster,2019-11-15 09:11:32.287,2024-12-27 14:01:35.120,0
47,Shuffle Master,2024-12-27 14:01:35.120,,1
48,Red7,2019-11-15 09:11:32.287,,1
49,ADP,2019-11-15 09:11:32.287,,1
50,WildStreak,2019-11-15 09:11:32.287,,1
51,Thunderkick,2019-11-15 09:11:32.287,,1
52,RedRake,2019-11-15 09:11:32.287,2024-04-25 07:02:14.283,0
52,Red Rake,2024-04-25 07:02:14.283,,1
53,Eyecon,2019-11-15 09:11:32.287,,1
55,RedTiger,2019-11-15 09:11:32.287,2024-04-02 12:20:09.943,0
55,Red Tiger,2024-04-02 12:20:09.943,,1
56,CoreGaming,2020-06-02 11:23:56.870,2025-03-13 20:05:08.423,0
56,Core Gaming,2025-03-13 20:05:08.423,,1
57,Greentube,2019-11-15 09:11:32.287,2023-05-24 10:13:44.523,0
57,Novomatic,2023-05-24 10:13:44.523,,1
58,ReelPlay,2019-11-15 09:11:32.287,2024-04-29 07:29:37.793,0
58,Reel Play,2024-04-29 07:29:37.793,,1
59,InspiredGaming,2020-05-12 08:37:53.473,,1
"60,""4ThePlayer"",2019-12-10 13:38:30.033,2025-02-18 15:20:14.957,0"
"60,""4The Player"",2025-02-18 15:20:14.957,,1"
61,BluePrint,2019-12-17 13:53:44.543,2024-04-10 11:27:40.893,0
61,Blue Print,2024-04-10 11:27:40.893,,1
62,AGS,2019-12-25 06:38:56.943,,1
63,Live5,2020-01-14 16:16:35.223,,1
64,High5Games,2020-05-12 08:37:53.483,,1
65,Ainsworth,2020-01-21 13:57:02.030,,1
66,NolimitCity,2020-03-05 12:44:07.610,2024-04-02 12:43:05.020,0
66,Nolimit City,2024-04-02 12:43:05.020,,1
67,Skywind,2020-05-07 13:31:12.487,,1
68,AuthenticGaming,2020-04-07 13:30:31.387,,1
69,Kiron,2020-04-14 10:19:08.413,,1
70,SGDigital,2020-09-03 10:44:11.330,,1
71,Endemol,2020-05-14 22:33:15.773,,1
72,Bulletproof,2020-05-14 22:33:15.770,,1
75,Adoptit,2020-05-14 22:33:15.763,,1
76,GoldenRace,2020-05-26 12:05:37.970,,1
77,GoldenRockStudios,2020-10-06 10:32:23.317,,1
78,StormGaming,2020-10-06 10:32:23.317,2025-02-18 15:20:39.810,0
78,Storm Gaming,2025-02-18 15:20:39.810,,1
79,RelaxGaming,2020-10-29 11:39:30.690,2024-04-19 15:49:26.377,0
79,Relax Gaming,2024-04-19 15:49:26.377,,1
80,LiveG24,2020-10-29 11:39:30.690,2024-12-19 07:54:54.217,0
80,Live G24,2024-12-19 07:54:54.217,,1
81,HighlightGames,2020-11-24 16:00:12.080,2024-04-09 08:48:52.037,0
81,Highlight Games,2024-04-09 08:48:52.037,,1
